"Code","ID","Meaning","Chinese Meaning","Abbreviation"
37,4,"Leading light.","导向灯",""
37,5,"Aero light.","航空灯",""
37,6,"Air obstruction light.","航空障碍灯",""
37,7,"Fog detector light.","探雾灯",""
37,8,"Flood light.","泛光灯",""
37,9,"Strip light.","条形灯",""
37,10,"Subsidiary light.","辅灯",""
37,11,"spotlight","聚光灯",""
37,12,"front","前灯",""
37,13,"rear","后灯",""
37,14,"lower","低灯",""
37,15,"upper","高灯",""
37,16,"moire effect","波纹作用灯",""
37,17,"emergency","应争灯",""
37,18,"bearing light","方位灯",""
37,19,"horizontally disposed","水平灯组",""
37,20,"vertically disposed","垂直灯组",""
38,1,"crustaceans","甲壳类",""
38,2,"oysters/mussels","牡蛎/蛏类",""
38,3,"fish","鱼",""
38,4,"seaweed","海藻",""
39,2,"torpedo exercise area","鱼雷演习区",""
39,3,"submarine exercise area","潜艇演习区",""
39,4,"firing danger area","射击危险区",""
39,5,"mine-laying practice area","布雷训练区",""
39,6,"small arms firing range","小型军用射击靶场",""
40,1,"dolphin","系船墩",""
40,2,"deviation dolphin","系船桩",""
40,3,"bollard","系缆桩",""
40,4,"tie-up wall","系船坝",""
40,5,"post or pile","桩或柱",""
40,6,"chain/wire/cable","链/索/缆",""
40,7,"mooring buoy","系船浮筒",""
41,1,"clearing line","安全线",""
41,2,"transit line","叠标线",""
41,3,"leading line bearing a recommended track","导向线指向一推荐航线",""
42,1,"snag / stump","水中隐树/桩墩",""
42,2,"wellhead","井盖",""
42,3,"diffuser","扩散器",""
42,4,"crib","木笼",""
42,5,"fish haven","鱼礁",""
42,6,"foul area","险恶区",""
42,7,"foul ground","险恶地",""
42,8,"ice boom","浮冰防栅",""
42,9,"ground tackle","锚泊索具",""
42,10,"boom","漂浮屏障",""
43,1,"oil derrick / rig","油进架/钻井平台",""
43,2,"production platform","生产平台",""
43,3,"observation / research platform","观测/勘控平台",""
43,4,"articulated loading platform (ALP)","铰接式装卸输油平台（ALP0）",""
43,5,"single anchor leg mooring (SALM)","单锚系泊平台（SALM）",""
43,6,"mooring tower","系泊平台",""
43,7,"artificial island","人工岛",""
43,8,"floating production, storage and off-loading vessel (FPSO)","浮式采油、贮油、卸油船（FPSO）",""
43,9,"accommodation platform","生活平台",""
43,10,"navigation, communication and control buoy (NCCB)","导航、通信和控制浮筒（NCCB）",""
44,1,"oil retention (high pressure pipe)","阻油器(高压管)",""
44,2,"floating oil barrier","围油栏",""
45,1,"stake","桩",""
45,3,"post","柱",""
45,4,"tripodal","三脚架",""
46,1,"boarding by pilot-cruising vessel","由引航巡逻艇登船",""
46,2,"boarding by helicopter","由直升飞机登船",""
46,3,"pilot comes out from shore","引航员从岸上来",""
47,2,"outfall pipe","排泄管道",""
47,3,"intake pipe","抽吸管道",""
47,4,"sewer","下水道",""
47,5,"bubbler system","鼓泡系统",""
47,6,"supply pipe","输送管道",""
48,1,"quarry","采石场",""
48,2,"mine","矿山",""
48,3,"stockpile","仓储区",""
48,4,"power station area","电站区",""
48,5,"refinery area","炼油区",""
48,6,"timber yard","贮木场",""
48,7,"factory area","工厂区",""
48,8,"tank farm","油罐群",""
48,9,"wind farm","风车区",""
49,1,"power transmission pylon/pole","电力传输线塔/杆",""
49,2,"telephone/telegraph pylon/pole","电话/电报线塔/杆",""
49,3,"aerial cableway/sky pylon","架空索道/高架塔",""
49,4,"bridge pylon/tower","桥梁塔/塔台",""
49,5,"bridge pier","桥墩",""
50,1,"data quality A","数据质量A",""
50,2,"data quality B","数据质量B",""
50,3,"data quality C","数据质量C",""
50,4,"data quality D","数据质量D",""
50,5,"data quality E","数据质量E",""
50,6,"quality not evaluated","未确定质量",""
51,1,"radar surveillance station","雷达监视站",""
51,2,"coast radar station","海岸雷达站",""
52,1,"ramark, radar beacon transmitting continuously","雷达指向标(连续发射雷达信标)",""
52,2,"racon, radar transponder beacon","雷康(雷达应答标)",""
52,3,"leading racon/radar transponder beacon","导向雷康/雷达应答标",""
53,1,"circular (non-directional) marine or aero-marine radiobeacon","环射(全向)海上或海空无线电指向标",""
53,2,"directional radiobeacon","定向无线电指向标",""
53,3,"rotating-pattern radiobeacon","旋转型无线电指和标",""
53,4,"Consol beacon","康索尔航标",""
53,5,"radio direction-finding station","无线电测向台",""
53,6,"coast radio station providing QTG service","提供QTG服务的海岸无线电台",""
53,7,"aeronautical radio beacon","航空无线电指向标",""
53,8,"Decca","台卡",""
53,9,"Loran C","罗兰C",""
53,10,"Differential GPS","差分GPS",""
53,11,"Toran","道朗",""
53,12,"Omega","奥米伽",""
53,13,"Syledis","塞雷的斯",""
53,14,"Chaika (Chayka)","才卡",""
54,1,"based on a system of fixed marks","基于固定标志系统",""
54,2,"not based on a system of fixed marks","不基于固定标志系统",""
55,1,"rescue station with lifeboat","有救生船的救助站",""
55,2,"rescue station with rocket","有火箭的救助站",""
55,4,"refuge for shipwrecked mariners","沉船海员避护所",""
55,5,"refuge for intertidal area walkers","潮间带行人避护所",""
55,6,"lifeboat lying at a mooring","泊地停靠的救生船",""
56,1,"offshore safety zone","沿岸安全带",""
56,4,"nature reserve","自然保护区",""
56,5,"bird sanctuary","鸟类禁猎区",""
56,6,"game reserve","狩猎畜养场",""
56,7,"seal sanctuary","海豹禁猎区",""
56,8,"degaussing range","消磁观测场",""
56,9,"military area","军事区",""
56,10,"historic wreck area","历史沉船区",""
56,12,"navigational aid safety zone","航行标志安全带",""
56,14,"minefield","水雷区",""
56,18,"swimming area","游泳场",""
56,19,"waiting area","待泊区",""
56,20,"research area","搜索区",""
56,21,"dredging area","疏浚区",""
56,22,"fish sanctuary","鱼类禁捕区",""
56,23,"ecological reserve","生态保护区",""
56,24,"no wake area","无伴流区",""
56,25,"swinging area","摆动区",""
56,26,"water skiing area","滑水区",""
57,1,"motorway","快车道",""
57,2,"major road","主干公路",""
57,3,"minor road","支线公路",""
57,4,"track / path","小路/人行道",""
57,5,"major street","大街道",""
57,6,"minor street","小街道",""
57,7,"crossing","交叉口",""
58,1,"aeroplane","飞机跑道",""
58,2,"helicopter landing pad","直升飞机起降台",""
59,2,"gat","滩间水道",""
59,3,"bank","沙滩",""
59,4,"deep","深渊",""
59,5,"bay","海湾",""
59,6,"trench","海沟",""
59,7,"basin","深海盆地",""
59,8,"mud flats","泥滩",""
59,9,"reef","礁",""
59,10,"ledge","礁脉",""
59,11,"canyon","峡谷",""
59,12,"narrows","狭水道",""
59,13,"shoal","浅滩",""
59,14,"knoll","圆丘",""
59,15,"ridge","山脊",""
59,16,"seamount","海底山",""
59,17,"pinnacle","尖峰",""
59,18,"abyssal plain","深海平原",""
59,19,"plateau","高原",""
59,20,"spur","支脉",""
59,21,"shelf","大陆架",""
59,22,"trough","海谷",""
59,23,"saddle","凹谷",""
59,24,"abyssal hills","深海丘陵",""
59,25,"apron","边沿",""
59,26,"archipelagic apron","群岛边沿",""
59,27,"borderland","边缘地",""
59,28,"continental margin","大陆边缘",""
59,29,"continental rise","大陆升高",""
59,30,"escarpment","悬崖",""
59,31,"fan","扇形海底",""
59,32,"fracture zone","断裂带",""
59,33,"gap","山凹",""
59,34,"guyot","平顶山",""
59,35,"hill","山丘",""
59,36,"hole","海底穴",""
59,37,"levee","冲积堤",""
59,38,"median valley","中央海谷",""
59,39,"moat","壕沟",""
59,40,"mountains","山",""
59,41,"peak","峰",""
59,42,"province","海区",""
59,43,"rise","升高",""
59,44,"sea channel","海槽",""
59,45,"seamount chain","海底山链",""
59,46,"shelf edge","陆架外缘",""
59,47,"sill","海槛",""
59,48,"slope","斜坡",""
59,49,"terrace","台地",""
59,50,"valley","谷地",""
59,51,"canal","运河",""
59,52,"lake","湖",""
59,53,"river","河",""
60,1,"breakwater","防波堤",""
60,2,"groyne (groin)","排流堤",""
60,3,"mole","突堤",""
60,4,"pier ( jetty)","突码头",""
60,5,"promenade pier","栈桥式码头",""
60,6,"wharf (quay)","顺岸码头",""
60,7,"training wall","导流堤",""
60,8,"rip rap","堆石提",""
60,9,"revetment","护岸",""
60,10,"sea wall","海堤",""
60,11,"landing steps","登岸阶梯",""
60,12,"ramp","跳板",""
60,13,"slipway","船台滑道",""
60,14,"fender","碰垫",""
60,15,"solid face wharf","实心码头",""
60,16,"open face wharf","露天码头",""
61,1,"port control","港口管理台站",""
61,2,"port entry and departure","进出港台站",""
61,3,"International Port Traffic","国际港口交通台站",""
61,4,"berthing","系泊台站",""
61,5,"dock","船坞台站",""
61,6,"lock","船闸台站",""
61,7,"flood barrage","拦洪坝台站",""
61,8,"bridge passage","过桥台站",""
61,9,"dredging","疏浚台站",""
62,1,"danger","危险信号",""
62,2,"maritime obstruction","海上障碍物信号",""
62,3,"cable","电缆信号",""
62,4,"military practice","军事演习信号",""
62,5,"distress","遇险信号",""
62,6,"weather","天气信号",""
62,7,"storm","风暴信号",""
62,8,"ice","冰况信号",""
62,9,"time","时间信号",""
62,10,"tide","潮汐信号",""
62,11,"tidal stream","潮流信号",""
62,12,"tide gauge","验潮仪",""
62,13,"tide scale","潮标",""
62,14,"diving","浅水",""
63,1,"silo in general","一般粮仓",""
63,2,"tank in general","一般储液罐",""
63,3,"grain elevator","谷物仓库",""
63,4,"water tower","水塔",""
64,1,"cutting","路堑",""
64,2,"embankment","路堤",""
64,3,"dune","沙丘",""
64,4,"hill","小丘",""
64,5,"pingo","冻土高地",""
64,6,"cliff","陡岸",""
64,7,"scree","岩屑堆",""
65,1,"visitor's berth","游客码头",""
65,2,"nautical club","航海俱乐部",""
65,3,"boat hoist","吊艇绞车",""
65,4,"sailmaker","帆具厂",""
65,5,"boatyard","小船修造厂",""
65,6,"public inn","公共旅馆",""
65,7,"restaurant","餐馆",""
65,8,"chandler","供应商",""
65,9,"provisions","食品供应点",""
65,10,"doctor","医疗点",""
65,11,"pharmacy","药房",""
65,12,"water tap","水龙头",""
65,13,"fuel station","燃料站",""
65,14,"electricity","电力站",""
65,15,"bottle gas","罐装煤气",""
65,16,"showers","沐浴",""
65,17,"launderette","洗衣店",""
65,18,"public toilets","公共厕所",""
65,19,"post box","邮箱",""
65,20,"public telephone","公用电话",""
65,21,"refuse bin","垃圾箱",""
65,22,"car park","停车场",""
65,23,"parking for boats and trailers","小船和拖车停靠处",""
65,24,"caravan site","旅行车场址",""
65,25,"camping site","野营基地",""
65,26,"sewerage pump-out station","污水排放站",""
65,27,"emergency telephone","应急电话",""
65,28,"landing / launching place for boats","小艇上岸/下水地方",""
65,29,"visitors mooring","旅游船系泊地",""
65,30,"scrubbing berth","擦洗泊位",""
65,31,"picnic area","野餐场所",""
65,32,"mechanics workshop","机械工场",""
65,33,"guard and/or security service","安保服务",""
66,1,"firing danger area mark","射击危险区标志",""
66,2,"target mark","目标标志",""
66,3,"marker ship mark","标志船",""
66,4,"degaussing range mark","消磁区标志",""
66,5,"barge mark","驳船标志",""
66,6,"cable mark","电缆标志",""
66,7,"spoil ground mark","废口场地标志",""
66,8,"outfall mark","排出口标志",""
66,9,"ODAS (Ocean-Data-Acquisition-System)","海洋资料探测系统(ODAS)",""
66,10,"recording mark","记录标志",""
66,11,"seaplane anchorage mark","水上飞机锚地标志",""
66,12,"recreation zone mark","娱乐区标志",""
66,13,"private mark","私有标志",""
66,14,"mooring mark","锚泊标志",""
66,15,"LANBY (Large Automatic Navigational Buoy)","大型自动助航浮标(LANBY)",""
66,16,"leading mark","导标",""
66,17,"measured distance mark","测距标志",""
66,18,"notice mark","通告标志",""
66,19,"TSS mark (Traffic Separation Scheme)","分道通航制标志",""
66,20,"anchoring prohibited mark","禁止下锚标志",""
66,21,"berthing prohibited mark","禁止系泊标志",""
66,22,"overtaking prohibited mark","禁止追越标志",""
66,23,"two-way traffic prohibited mark","禁止双向通行标志",""
66,24,"'reduced wake' mark","减少伴流标志",""
66,25,"speed limit mark","限速标志",""
66,26,"stop mark","停止标志",""
66,27,"general warning mark","一般警告标志",""
66,28,"'sound ship's siren' mark","鸣笛标志",""
66,29,"restricted vertical clearance mark","限制垂直净空标志",""
66,30,"maximum vessel's draught mark","最大船舶吃水标志",""
66,31,"restricted horizontal clearance mark","限制横向间距标志",""
66,32,"strong current warning mark","强流警告标志",""
66,33,"berthing permitted mark","允许靠泊标志",""
66,34,"overhead power cable mark","架空电力电缆标志",""
66,35,"'channel edge gradient' mark","航道边缘坡度标志",""
66,36,"telephone mark","电话标志",""
66,37,"ferry crossing mark","渡船交汇标志",""
66,39,"pipeline mark","管道标志",""
66,40,"anchorage mark","锚地标志",""
66,41,"clearing mark","安全导航标志",""
66,42,"control mark","控制村志",""
66,43,"diving mark","潜水标志",""
66,44,"refuge beacon","避难地标志",""
66,45,"foul ground mark","险恶地标志",""
66,46,"yachting mark","游艇标志",""
66,47,"heliport mark","直升飞机机场标志",""
66,48,"GPS mark","全球定位系统GPS标志",""
66,49,"seaplane landing mark","水上飞机降落标志",""
66,50,"entry prohibited mark","禁止入内标志",""
66,51,"work in progress mark","正在作业标志",""
66,52,"mark with unknown purpose","位置目的标志",""
66,54,"channel separation mark","信道分离标志",""
66,55,"marine farm mark","海洋农场标志",""
67,1,"IMO - adopted","IMO采纳",""
67,2,"not IMO - adopted","非IMO采纳",""
68,1,"grassland","草",""
68,3,"bush","灌木丛",""
68,4,"deciduous wood","落叶性树林",""
68,5,"coniferous  wood","针叶树林",""
68,6,"wood in general (inc mixed wood)","普通树林(包括杂树林)",""
68,7,"mangroves","红树林",""
68,10,"mixed crops","混合作物",""
68,11,"reed","芦苇",""
68,12,"moss","苔、藓",""
68,13,"tree in general","普通树",""
68,14,"evergreen tree","常绿树",""
68,15,"coniferous tree","针叶树",""
68,16,"palm tree","棕榈树",""
68,17,"nipa palm tree","聂帕榈树",""
68,18,"casuarina tree","大麻黄",""
68,19,"eucalypt tree","桉树",""
68,20,"deciduous tree","落叶树",""
68,21,"mangrove tree","红树",""
68,22,"filao tree","垂枝大麻黄树",""
69,1,"breakers","拍岸浪",""
69,2,"eddies","涡流",""
69,3,"overfalls","溢流",""
69,4,"tide rips","潮激",""
69,5,"bombora","爆波(浪)",""
70,1,"kelp","巨型海藻",""
70,2,"sea weed","海藻",""
70,3,"sea grass","海草",""
70,4,"saragasso","马尾藻",""
71,1,"non-dangerous wreck","非危险沉船",""
71,2,"dangerous wreck","危险沉船",""
71,3,"distributed remains of wreck","散布的沉船残骸(险恶地)",""
71,4,"wreck showing mast/masts","露桅沉船",""
71,5,"wreck showing any portion of hull or superstructure","部分船体或上层建筑裸露的沉船",""
72,1,"zone of confidence A1","A 置信度区",""
72,2,"zone of confidence A2","B 置信度区",""
72,3,"zone of confidence B","C 置信度区",""
72,4,"zone of confidence C","D 置信度区",""
72,5,"zone of confidence D","E 置信度区",""
72,6,"zone of confidence U (data not assessed)","U 置信度区(没有审估的数据)",""
73,1,"expanded/condensed","扩大/压缩",""
73,2,"standard","标准",""
75,1,"white","白",""
75,2,"black","黑",""
75,3,"red","红",""
75,4,"green","绿",""
75,5,"blue","蓝",""
75,6,"yellow","黄",""
75,7,"grey","灰",""
75,8,"brown","棕",""
75,9,"amber","琥珀",""
75,10,"violet","紫",""
75,11,"orange","橙黄",""
75,12,"magenta","洋红",""
75,13,"pink","粉红",""
76,1,"horizontal stripes","横条纹",""
76,2,"vertical stripes","竖条纹",""
76,3,"diagonal stripes","斜条纹",""
76,4,"squared","正方形",""
76,5,"stripes (direction unknown)","条纹(方向未知)",""
76,6,"border stripes","边界条纹",""
81,1,"under construction","建造中",""
81,2,"ruined","废弃的",""
81,3,"under reclamation","改造中",""
81,4,"wingless","无侧翼的",""
81,5,"planned construction","计划建造的",""
82,1,"radar conspicuous","雷达显见",""
82,2,"not radar conspicuous","雷达不显见",""
82,3,"radar conspicuous (has radar reflector)","雷达显见(有雷达反射器)",""
83,1,"visual conspicuous","视觉显见",""
83,2,"not visual conspicuous","视觉不显见",""
89,1,"metres","米",""
89,2,"fathoms and feet","吋及英尺",""
89,3,"feet","英尺",""
89,4,"fathoms and fractions","吋及分数",""
92,1,"Light shown without change of character.","灯质固定灯",""
92,2,"Daytime light.","昼灯",""
92,3,"Fog light.","雾灯",""
92,4,"Night light.","夜灯",""
93,1,"within the range of depth of the surrounding depth area","在周围水深区的深度范围内",""
93,2,"shoaler than range of depth of the surrounding depth area","浅于周围水深区的深度范围",""
93,3,"deeper than range of depth of the surrounding depth area","深于周围水深区的深度范围",""
94,2,"harbour-master's office","港务局长办公室",""
94,3,"custom office","海关",""
94,4,"health office","保健站",""
94,5,"hospital","医院",""
94,6,"post office","邮局",""
94,7,"hotel","旅馆",""
94,8,"railway station","火车站",""
94,9,"police station","警察局",""
94,10,"water-police station","水上警察局",""
94,11,"pilot office","引航站",""
94,12,"pilot lookout","引航瞭望台",""
94,13,"bank office","银行",""
94,14,"headquarters for district control","地区管理总部",""
94,15,"transit shed/warehouse","转运棚/他库",""
94,16,"factory","工厂",""
94,17,"power station","电站",""
94,18,"administrative","办公楼",""
94,19,"educational facility","教育机构",""
94,20,"church","教堂",""
94,21,"chapel","小教堂",""
94,22,"temple","寺庙",""
94,23,"pagoda","宝塔",""
94,24,"shinto shrine","神道殿堂",""
94,25,"buddhist temple","佛教的寺庙",""
94,26,"mosque","清真寺",""
94,27,"marabout","伊斯兰教教堂",""
94,28,"lookout","瞭望",""
94,29,"communication","通信",""
94,30,"television","电视台",""
94,31,"radio","无线电台",""
94,32,"radar","雷达",""
94,33,"light support","灯架",""
94,34,"microwave","微波站",""
94,35,"cooling","冷却",""
94,36,"observation","观察",""
94,37,"timeball","报时球",""
94,38,"clock","时钟",""
94,39,"control","控制",""
94,40,"airship mooring","飞艇停泊",""
94,41,"stadium","体育场",""
94,42,"bus station","公共汽车站",""
96,1,"metres","米",""
96,2,"feet","英尺",""
103,1,"international","国际",""
103,2,"national","国家",""
103,3,"national sub-division","国家下属地区",""
104,1,"centre justified","居中",""
104,2,"right justified","右对齐",""
104,3,"left justified","左对齐",""
105,1,"bottom justified","底对齐",""
105,2,"centre justified","居中",""
105,3,"top justified","顶对齐",""
107,1,"F","定光",""
107,2,"FL","闪光",""
107,3,"LFL","长闪光",""
107,4,"Q","快闪光",""
107,5,"VQ","甚快闪光",""
107,6,"UQ","超快闪光",""
107,7,"ISO","等明暗光",""
107,8,"OC","明暗光",""
107,9,"IQ","联快闪光",""
107,10,"IVQ","联甚快闪光",""
107,11,"IUQ","联超快闪光",""
107,12,"MO","莫",""
107,13,"fixed / flash","定闪光",""
107,14,"flash / long-flash","闪长闪光",""
107,15,"occulting / flash","明暗闪光",""
107,16,"fixed / long-flash","定长闪光",""
107,17,"OC AL","明暗互闪光",""
107,18,"LFL AL","长互闪光",""
107,19,"FL AL","互闪光",""
107,20,"GP AL","互联闪光",""
107,21,"F [vertical]","垂直定光",""
107,25,"quick-flash plus long-flash","快闪加长闪",""
107,26,"very quick-flash plus long-flash","甚快闪加长闪",""
107,27,"ultra quick-flash plus long-flash","超快闪加长闪",""
107,28,"AL","互光",""
107,29,"fixed and alternating flashing","定光和互闪光",""
108,1,"high intensity","高光强灯",""
108,2,"low intensity","低光强灯",""
108,3,"faint","弱光强灯",""
108,4,"intensified","光增强灯",""
108,5,"unintensified","未增强灯",""
108,6,"visibility deliberately restricted","故意限制能见灯",""
108,7,"obscured","遮蔽灯",""
108,8,"partially obscured","部分遮蔽灯",""
109,1,"IALA A","国际航标协会(IALA)A",""
109,2,"IALA B","国际航标协会(IALA)B",""
109,9,"no system","无体系",""
109,10,"other sytem","其他体系",""
112,1,"masonry","砖石结构",""
112,2,"concreted","混凝土结构",""
112,3,"loose boulders","散石结构",""
112,4,"hard surfaced","硬表面结构",""
112,5,"unsurfaced","表面未处理结构",""
112,6,"wooden","木质结构",""
112,7,"metal","金属结构",""
112,8,"glass reinforced plastic (GRP)","玻璃钢结构",""
112,9,"painted","油漆结构",""
